Municipalities_Join,Full_Municipality_Name,Total,pop_total,pop_perc,household_size,total_sex_ratio,perc_dalit_total,perc_dalit_male,perc_dalit_female,perc_owned_house,perc_institutional,perc_mudbondedBricks_st,perc_cemend_bondedbricks_stone,perc_roof_thatch_straw,perc_roof_galvanized_iron,perc_dwms_tap_piped,perc_dwms_tubewell_handpump,perc_dmws_coveredwell_kuwa,perc_dwms_uncoveredwell_kuwa,perc_cookingfuel_wood_firewood,perc_cookingfuel_kerosene,perc_cookingfuel_lpgas,perc_cookingfuel_cowdung,perc_lighting_electricty,perc_lighting_kerosene,perc_lighting_solar,perc_householdsans_toilet,perc_flush_toilet,perc_ordinary_toilet,perc_nomaterial_resource,perc_radio,perc_tv,perc_cableTV,perc_computer,perc_internet,perc_telephone,perc_mobilephone,perc_motot,perc_motorcycle,perc_cycle,perc_refrigerator,perc_totalabsent_popn,perc_male_absent,perc_female_absent,literacy_rate,perc_beginner_educ_level,perc_primary,perc_lower_secondary6_8,perc_secondary9_10,perc_SLC_equiv,perc_intermediate_equiv,perc_grad_equiv,perc_postgrad_equiv_above
Arnama,Arnama Gaunpalika,4047,"22,912",3.60,5.66,91.38,21.84,21.65,22,99.33,0.22,3.43,13.99,54.34,8.62,0.42,95.87,0.2,0.42,17.17,1.09,0.52,79.84,48.33,49.54,0.91,90.96,6.7,1.31,23.92,34.91,23.75,0.77,0.47,0.02,0.59,52.06,3.09,6.97,59.77,0.1,50.43,99.56,0.44,43.94,1.55,46.45,21.29,11.87,9.42,5.09,1.76,0.36
Aurahi,Aurahi Gaunpalika,4245,"23,046",3.63,5.43,93.18,19.92,20.03,19.82,98.78,0.16,2.73,14.96,61.86,6.71,0.31,95.71,0.19,1.53,5.63,1.41,0.61,90.08,8.86,85.49,3.91,90.01,5.68,2.73,21.91,46.69,4.85,0.21,0.09,0,0.57,43.96,0.47,5.77,62.92,0.02,40.68,99.31,0.29,47.54,1.3,46.09,20.78,12.12,8.11,6.14,3.54,0.7
Bariyarpatti,Bariyarpatti Gaunpalika,4264,"25,256",3.97,5.92,98.07,17.38,17.51,17.25,97.63,0.61,7.36,18.22,55.11,12.43,2.09,94.51,0.3,0.82,2.7,0.75,0.66,91.84,63.34,34.92,0.98,91.65,5.32,2.37,19,40.97,16.09,1.2,0.42,0,0.63,56.59,2.16,7.5,63.77,0.12,31.99,98.39,1.61,46.96,3.2,46.49,19.92,10.99,9.5,5.64,1.8,0.34
Bhagawanpur,Bhagawanpur Gaunpalika,3661,"20,957",3.30,5.72,96.48,24.43,24.47,24.4,97.16,0.03,9.23,16.2,61.32,13.03,6.31,89.7,0.14,0.3,4.86,0.71,0.25,92.73,74.87,23.38,0.49,85.85,5.93,7.1,24.39,33.35,22.92,0.63,0.55,0.05,0.25,43.73,3.28,6.09,59.44,0.3,16.94,95.81,4.19,50.08,1.39,46.9,19.18,12.56,9.64,5.24,2.93,0.34
Bishnupur,Bishnupur Gaunpalika,3469,"18,522",2.91,5.34,91.74,22.85,22.12,23.53,98.1,0.09,11.93,15.65,33.53,4.79,0.92,97.23,0.14,0.72,6.17,1.61,1.18,90.49,61.17,36.75,1.5,87.43,9.89,2.45,22.97,33.18,35.2,0.95,0.86,0.12,0.92,63.76,1.56,7.55,51.08,0.14,52.41,99.94,0.06,49.84,8.89,36.63,19.01,11.38,12.67,6.36,1.41,0.69
Dhangadhimai,Dhangadhimai Municipality,8757,"47,449",7.46,5.42,97.55,20.09,19.94,20.23,98.85,0.17,7.09,17.14,27.84,3.88,9.6,51.98,0.64,30.99,54.04,0.81,1.5,41.88,72.88,21.47,4.03,83,8.5,7.21,17.45,41.44,35.7,1.42,1.29,0.16,0.78,55.3,3,7.4,57.53,0.24,28.22,97.73,2.27,53.17,2.79,42.31,20.96,11.82,12.13,5.31,1.82,0.37
Golbazar,Golbazar Municipality,10110,"52,137",8.20,5.16,94.96,21.11,21.07,21.15,94.8,0.05,5.69,27.14,18.5,6.23,3.42,59.79,1.29,30.32,63.61,1.01,4.15,29.72,65.57,31.54,0.77,73.38,14.95,11.03,19.16,35.77,34.37,8.54,2.02,0.31,1.96,52.64,2.86,8.1,57.49,1.39,36.6,98.03,1.97,53.75,3.43,43.01,19.53,13.38,9.01,6.26,1.98,0.58
Kalyanpur,Kalyanpur Municipality,9391,"49,290",7.75,5.25,87.82,22.47,22.4,22.53,97.98,1.03,3.43,20.18,28.43,2.89,4.43,92.82,0.07,0.12,36.28,0.8,0.96,59.6,63.66,34.44,0.3,81.21,13.46,4.24,19.63,36.89,45.26,1.71,1,0.11,1.03,62.89,1.69,7.6,51.61,0.28,58.83,99.78,0.22,43.64,2.52,48.82,21.49,10.28,8.41,3.44,1.69,0.45
Karjanha,Karjanha Municipality,6088,"30,967",4.87,5.09,91.19,28.49,28.9,28.12,98.08,0.34,2.71,16.06,23.9,2.33,5.04,93.13,0.18,0.43,79.37,1.2,1.49,16.87,64.55,34.03,0.59,77.69,12.48,9.1,25.95,31.62,44.09,5.85,1.33,0.15,0.74,64.6,2.71,6.06,41.7,0.84,47.09,97.91,2.09,49.17,2.36,44.81,21.55,12.14,9.18,4.87,1.97,0.48
Lahan,Lahan Municipality,17182,"91,766",14.44,5.34,98.41,22.56,22.57,22.54,92.75,0.6,4.29,27.21,30.26,7.19,11.87,76.38,0.54,8.14,49.46,1.01,10.93,37.45,76.62,19.34,1.68,64.03,23.11,12.08,13.03,39.44,42.63,9.74,4.05,0.76,4.22,60.05,4.27,10.98,61.6,2.46,20.96,98.08,1.92,57.75,3.63,38.3,19.48,11.1,14.13,7.05,2.94,0.76
